title,authors,description,publisher
Extragalactic Astrophysics,James R Webb,"This book is intended to be a course about the creation and evolution of the universe at large, including the basic macroscopic building blocks (galaxies) and the overall large-scale structure. This text covers a broad range of topics for a graduate-level class in a physics department where students' available credit hours for astrophysics classes are limited. The sections cover galactic structure, external galaxies, galaxy clustering, active galaxies, general relativity and cosmology.",Morgan & Claypool Publishers
Introductory Astronomy & Astrophysics,"Michael Zeilik,Stephen A. Gregory","This advanced undergraduate text provides broad coverage of astronomy and astrophyscis with a strong emphasis on physics. It has an algebra and trigonometry prerequisite, but calculus is preferred.",Brooks/Cole Publishing Company
Evolutionary Processes in Binary and Multiple Stars,Peter Eggleton,"Binary systems of stars are as common as single stars. Stars evolve primarily by nuclear reactions in their interiors, but a star with a binary companion can also have its evolution influenced by the companion. Multiple star systems can exist stably for millions of years, but can ultimately become unstable as one star grows in radius until it engulfs another. This volume, first published in 2006, discusses the statistics of binary stars; the evolution of single stars; and several of the most important kinds of interaction between two (and even three or more) stars. Some of the interactions discussed are Roche-lobe overflow, tidal friction, gravitational radiation, magnetic activity driven by rapid rotation, stellar winds, magnetic braking and the influence of a distant third body on a close binary orbit. A series of mathematical appendices gives a concise but full account of the mathematics of these processes.",Cambridge University Press
Polytropes,Georg P. Horedt,This book provides the most complete academic treatment on the application of polytropes ever published. It is primarily intended for students and scientists working in Astrophysics and related fields. It provides a full overview of past and present research results and is an indispensible guide for everybody wanting to apply polytropes.,Springer Science & Business Media
The New Cosmos,"Albrecht Unsöld,Bodo Baschek","Astronomy, astrophysics and space research have witnessed an explosive development over the last few decades. The new observational potential offered by space stations and the availability of powerful and highly specialized computers have revealed novel aspects of the fascinating realm of galaxies, quasars, stars and planets. The present completely revised 5th edition of The New Cosmos provides ample evidence of these dramatic developments. In a concise presentation, which assumes only a modest prior knowledge of mathematics and physics, the book gives a coherent introduction to the entire field of astronomy and astrophysics. At the same time it takes into account the art of observation and the fundamental ideas behind their interpretation. Like its predecessors, this edition of The New Cosmos will provide new insight and enjoyment not only to students and researchers in the fields of astronomy, physics and earth sciences, but also to a wide range of interested amateurs.",Springer Science & Business Media
Exoplanet Atmospheres,Sara Seager,"Over the past twenty years, astronomers have identified hundreds of extrasolar planets--planets orbiting stars other than the sun. Recent research in this burgeoning field has made it possible to observe and measure the atmospheres of these exoplanets. This is the first textbook to describe the basic physical processes--including radiative transfer, molecular absorption, and chemical processes--common to all planetary atmospheres, as well as the transit, eclipse, and thermal phase variation observations that are unique to exoplanets. In each chapter, Sara Seager offers a conceptual introduction, examples that combine the relevant physics equations with real data, and exercises. Topics range from foundational knowledge, such as the origin of atmospheric composition and planetary spectra, to more advanced concepts, such as solutions to the radiative transfer equation, polarization, and molecular and condensate opacities. Since planets vary widely in their atmospheric properties, Seager emphasizes the major physical processes that govern all planetary atmospheres. Moving from first principles to cutting-edge research, Exoplanet Atmospheres is an ideal resource for students and researchers in astronomy and earth sciences, one that will help prepare them for the next generation of planetary science. The first textbook to describe exoplanet atmospheres Illustrates concepts using examples grounded in real data Provides a step-by-step guide to understanding the structure and emergent spectrum of a planetary atmosphere Includes exercises for students",Princeton University Press
Plasma Physics for Astrophysics,R. M. Kulsrud,"Designed to teach plasma physics and astrophysics 'from the ground up', this textbook proceeds from the simplest examples through a careful derivation of results and encourages the reader to think for themselves.",Princeton University Press
Foundations of Astrophysics,"Barbara Sue Ryden,Bradley M. Peterson","Key Benefit: Foundations of Astrophysics provides a contemporary and complete introduction to astrophysics for astronomy and physics majors. This book is briefer and more accessible than other books in the market, and is the most up-to-date book available in this fast-changing field. With a logical presentation and conceptual and quantitative end-of-chapter problems, the material is easier-to-grasp for introductory astrophysics readers. Key Topics: Early Astronomy, Emergence of Modern Astronomy, Orbital Mechanics, The Earth-Moon System, Interaction of Radiation and Matter, Astronomical Detection of Light, The Sun, Overview of the Solar System, Earth and Moon, The Planets, Small Bodies in the Solar System, The Solar System in Perspective, Properties of Stars, Stellar Atmospheres, Stellar Interiors, The Interstellar Medium, Formation and Evolution of Stars, Stellar Remnants, Our Galaxy, Galaxies, Active Galaxies, Clusters and Superclusters, Cosmology, History of the Universe Market: Intended for those interested in learning the basics of astrophysics",Addison Wesley Longman
High Energy Astrophysics,Malcolm S. Longair,"Providing students with an in-depth account of the astrophysics of high energy phenomena in the Universe, the third edition of this well-established textbook is ideal for advanced undergraduate and beginning graduate courses in high energy astrophysics. Building on the concepts and techniques taught in standard undergraduate courses, this textbook provides the astronomical and astrophysical background for students to explore more advanced topics. Special emphasis is given to the underlying physical principles of high energy astrophysics, helping students understand the essential physics. The third edition has been completely rewritten, consolidating the previous editions into one volume. It covers the most recent discoveries in areas such as gamma-ray bursts, ultra-high energy cosmic rays and ultra-high energy gamma rays. The topics have been rearranged and streamlined to make them more applicable to a wide range of different astrophysical problems.",Cambridge University Press
Astrophysics,Judith Ann Irwin,"Astrophysics: Decoding the Cosmos is an accessible introduction to the key principles and theories underlying astrophysics. This text takes a close look at the radiation and particles that we receive from astronomical objects, providing a thorough understanding of what this tells us, drawing the information together using examples to illustrate the process of astrophysics. Chapters dedicated to objects showing complex processes are written in an accessible manner and pull relevant background information together to put the subject firmly into context. The intention of the author is that the book will be a ‘tool chest’ for undergraduate astronomers wanting to know the how of astrophysics. Students will gain a thorough grasp of the key principles, ensuring that this often-difficult subject becomes more accessible.",John Wiley & Sons
Astrophysics,K.D. Abhyankar,"This Book Introduces The Subject Of Astrophysics To Honours And Post-Graduate Students Of Physics, Without The Necessity Of Their Being Familiar With All The Practical Details Of Modern Astronomical Techniques Of Observation And Deduction Of Data. The Emphasis Is On Showing How An Application Of The Commonly Known Laws Of Physics Gives Us Important Information About The Properties Of Celestial Objects And Phenomena.",Universities Press
Astrophysics,Wolfgang Kundt,"Devised for a quantitative understanding of the physics of the universe from the solar system through the milky way to clusters of galaxies all the way to cosmology, this acclaimed text offers among the most concise and most critical ones of extant works. Special chapters are devoted to magnetic and radiation processes, disks, black-hole candidacy, bipolar flows, cosmic rays, gamma-ray bursts, image distortions, and special sources. At the same time, planet earth is viewed as the arena for life, with plants and animals having evolved to homo sapiens during cosmic time. This text is unique in covering the basic qualitative and quantitative tools, formulae as well as numbers, needed to for the precise interpretation of frontline phenomena.",Springer Science & Business Media
Astrophysics,K. S. Krishnaswamy,"Discoveries In Astronomy And Astrophysics Have Brought Out Several Outstanding Problems And Puzzles. For Resolving These New Inputs From Physics May Be Required. There Exist Several Centers With Excellent Instruments And Many New Instruments Will Be Developed In The Next Few Years. Similarly Several Satellites Are In Orbit And More Are Being Planned For Future Astronomical Studies. Clearly Astronomy And Astrophysics Will Provide Great Opportunities For An Inquisitive Mind To Do First Rate Research Work.There Is A Good Scope For Carrying Out Path Breaking Work In Astronomy, Astrophysics And Space Sciences. To Attract Students And Researchers To This Exciting Frontier, It Is Necessary To Provide Them A Strong Academic Foundation. Astrophysics: A Modern Perspective Is An Attempt In This Direction. This Book Has Evolved Out Of A Series Of Lectures Delivered At Two Winter Schools In Astronomy And Astrophysics Organized By The Tata Institute Of Fundamental Research (Tifr), Bombay. Special Effort Has Been Made To Highlight Some Of The Challenging And Unsolved Problems From The Observational And Theoretical Points Of View.All The Contributors To This Volume Are Well Known Scientists Of Tifr And Have Made Significant And Lasting Contributions In Their Respective Fields. Each Chapter Develops The Subject From Basic Considerations Of Physics And Goes On To The Present Day Understanding. Some Of The Important Problems Facing Astronomers And Astrophysicists Today Are Highlighted Throughout The Book. The Close Interaction Between Astronomers, Astrophysicists And Physicists Has Also Been Brought Out. It Is Hoped That This Approach Will Attract More Students And Research Workers To The Fascinating Area Of Astronomy And Astrophysics.",Taylor & Francis
"Theoretical Astrophysics: Volume 3, Galaxies and Cosmology",T. Padmanabhan,"This timely volume provides comprehensive coverage of all aspects of cosmology and extragalactic astronomy at an advanced level. Beginning with an overview of the key observational results and necessary terminology, it covers important topics: the theory of galactic structure and galactic dynamics, structure formation, cosmic microwave background radiation, formation of luminous galaxies in the universe, intergalactic medium and active galactic nuclei. This self-contained text has a modular structure, and contains over one hundred worked exercises. It can be used alone, or in conjunction with the previous two accompanying volumes (Volume I: Astrophysical Processes, and Volume II: Stars and Stellar Systems).",Cambridge University Press
AN INTRODUCTION TO ASTROPHYSICS,"BAIDYANATH BASU,TANUKA CHATTOPADHYAY,SUDHINDRA NATH BISWAS","This invaluable book, now in its second edition, covers a wide range of topics appropriate for both undergraduate and postgraduate courses in astrophysics. The book conveys a deep and coherent understanding of the stellar phenomena, and basic astrophysics of stars, galaxies, clusters of galaxies and other heavenly bodies of interest. Since the first appearance of the book in 1997, significant progress has been made in different branches of Astronomy and Astrophysics. The second edition takes into account the developments of the subject which have taken place in the last decade. It discusses the latest introduction of L and T dwarfs in the Hertzsprung-Russel diagram (or H-R diagram). Other developments discussed pertain to standard solar model, solar neutrino puzzle, cosmic microwave background radiation, Drake equation, dwarf galaxies, ultra compact dwarf galaxies, compact groups and cluster of galaxies. Problems at the end of each chapter motivate the students to go deeper into the topics. Suggested readings at the end of each chapter have been complemented.",PHI Learning Pvt. Ltd.
Knowledge in a Nutshell: Astrophysics,Sten Odenwald,"Whether searching for extra-terrestrial life, managing the effects of space weather or learning about dark matter, the study astrophysics has profound implications for us all. NASA scientist and astronomer Sten Odenwald explains the key concepts of this vast topic, bringing clarity to some of the great mysteries of space. These include: • The theory of relativity • Cosmic background radiation • The evolution of stars • The formation of the solar system • The nature of exoplanets • Space weather systems Filled with helpful diagrams and simple summaries, Knowledge in a Nutshell: Astrophysics is perfect for the non-expert, taking the complexities of space science and making them tangible. ABOUT THE SERIES The 'Knowledge in a Nutshell' series by Arcturus Publishing provides engaging introductions to many fields of knowledge, including philosophy, psychology and physics, and the ways in which human kind has sought to make sense of our world.",Arcturus Publishing
Astrophysics: A Very Short Introduction,James Binney,"Astrophysics is the physics of the stars, and more widely the physics of the Universe. It enables us to understand the structure and evolution of planetary systems, stars, galaxies, interstellar gas, and the cosmos as a whole. In this Very Short Introduction, the leading astrophysicist James Binney shows how the field of astrophysics has expanded rapidly in the past century, with vast quantities of data gathered by telescopes exploiting all parts of the electromagnetic spectrum, combined with the rapid advance of computing power, which has allowed increasingly effective mathematical modelling. He illustrates how the application of fundamental principles of physics - the consideration of energy and mass, and momentum - and the two pillars of relativity and quantum mechanics, has provided insights into phenomena ranging from rapidly spinning millisecond pulsars to the collision of giant spiral galaxies. This is a clear, rigorous introduction to astrophysics for those keen to cut their teeth on a conceptual treatment involving some mathematics. ABOUT THE SERIES: The Very Short Introductions series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable",Oxford University Press
Accretion Power in Astrophysics,"Juhan Frank,Andrew King,Derek Raine",An updated version of the popular graduate text on accretion in astrophysics.,Cambridge University Press
"Planetary Astronomy from the Renaissance to the Rise of Astrophysics, Part A, Tycho Brahe to Newton","R. Taton,C. Wilson","The International Astronomical Union and the International Union for the History and Philosophy of Science have sponsored a major work on the history of astronomy, which the Press publishs are in four volumes, three of which will be divided into two parts. Publication commenced with volume 4, part A. The history of astronomy has never been tackled on this scale and depth and this major synthesis breaks wholly new ground. The individual chapters of each volume have been prepared by leading experts in every field of the history of astronomy.",Cambridge University Press
Astronomy and Astrophysics,"A. B. Bhattacharya,S. Joardar,R. Bhattacharya","This book is designed for upper division courses in astronomy and as a reference for science professionals. The subject areas of astronomy and astrophysics have grown tremendously during the last few decades. New developments in radio astronomy and recent data retrieved from NASA's Hubble Space Telescope have resulted in many discoveries and created new interest in the study of the universe. Using four-color throughout, Astronomy & Astrophysics describes the different techniques and instruments employed in the study of the universe and the results obtained with discussion on both theory and observation. The book covers topics such as, ""minor"" planets, radio astronomy, astronomical telescopes, measurement of solar brightness distribution, black holes, and the Einstein effect. A CD-ROM with color figures and simulations accompanies the book.",Jones & Bartlett Learning
Extragalactic Astrophysics,James R Webb,"This book is intended to be a course about the creation and evolution of the universe at large, including the basic macroscopic building blocks (galaxies) and the overall large-scale structure. This text covers a broad range of topics for a graduate-level class in a physics department where students' available credit hours for astrophysics classes are limited. The sections cover galactic structure, external galaxies, galaxy clustering, active galaxies, general relativity and cosmology.",Morgan & Claypool Publishers
Introductory Astronomy & Astrophysics,"Michael Zeilik,Stephen A. Gregory","This advanced undergraduate text provides broad coverage of astronomy and astrophyscis with a strong emphasis on physics. It has an algebra and trigonometry prerequisite, but calculus is preferred.",Brooks/Cole Publishing Company
Evolutionary Processes in Binary and Multiple Stars,Peter Eggleton,"Binary systems of stars are as common as single stars. Stars evolve primarily by nuclear reactions in their interiors, but a star with a binary companion can also have its evolution influenced by the companion. Multiple star systems can exist stably for millions of years, but can ultimately become unstable as one star grows in radius until it engulfs another. This volume, first published in 2006, discusses the statistics of binary stars; the evolution of single stars; and several of the most important kinds of interaction between two (and even three or more) stars. Some of the interactions discussed are Roche-lobe overflow, tidal friction, gravitational radiation, magnetic activity driven by rapid rotation, stellar winds, magnetic braking and the influence of a distant third body on a close binary orbit. A series of mathematical appendices gives a concise but full account of the mathematics of these processes.",Cambridge University Press
Polytropes,Georg P. Horedt,This book provides the most complete academic treatment on the application of polytropes ever published. It is primarily intended for students and scientists working in Astrophysics and related fields. It provides a full overview of past and present research results and is an indispensible guide for everybody wanting to apply polytropes.,Springer Science & Business Media
The New Cosmos,"Albrecht Unsöld,Bodo Baschek","Astronomy, astrophysics and space research have witnessed an explosive development over the last few decades. The new observational potential offered by space stations and the availability of powerful and highly specialized computers have revealed novel aspects of the fascinating realm of galaxies, quasars, stars and planets. The present completely revised 5th edition of The New Cosmos provides ample evidence of these dramatic developments. In a concise presentation, which assumes only a modest prior knowledge of mathematics and physics, the book gives a coherent introduction to the entire field of astronomy and astrophysics. At the same time it takes into account the art of observation and the fundamental ideas behind their interpretation. Like its predecessors, this edition of The New Cosmos will provide new insight and enjoyment not only to students and researchers in the fields of astronomy, physics and earth sciences, but also to a wide range of interested amateurs.",Springer Science & Business Media
Exoplanet Atmospheres,Sara Seager,"Over the past twenty years, astronomers have identified hundreds of extrasolar planets--planets orbiting stars other than the sun. Recent research in this burgeoning field has made it possible to observe and measure the atmospheres of these exoplanets. This is the first textbook to describe the basic physical processes--including radiative transfer, molecular absorption, and chemical processes--common to all planetary atmospheres, as well as the transit, eclipse, and thermal phase variation observations that are unique to exoplanets. In each chapter, Sara Seager offers a conceptual introduction, examples that combine the relevant physics equations with real data, and exercises. Topics range from foundational knowledge, such as the origin of atmospheric composition and planetary spectra, to more advanced concepts, such as solutions to the radiative transfer equation, polarization, and molecular and condensate opacities. Since planets vary widely in their atmospheric properties, Seager emphasizes the major physical processes that govern all planetary atmospheres. Moving from first principles to cutting-edge research, Exoplanet Atmospheres is an ideal resource for students and researchers in astronomy and earth sciences, one that will help prepare them for the next generation of planetary science. The first textbook to describe exoplanet atmospheres Illustrates concepts using examples grounded in real data Provides a step-by-step guide to understanding the structure and emergent spectrum of a planetary atmosphere Includes exercises for students",Princeton University Press
Plasma Physics for Astrophysics,R. M. Kulsrud,"Designed to teach plasma physics and astrophysics 'from the ground up', this textbook proceeds from the simplest examples through a careful derivation of results and encourages the reader to think for themselves.",Princeton University Press
Foundations of Astrophysics,"Barbara Sue Ryden,Bradley M. Peterson","Key Benefit: Foundations of Astrophysics provides a contemporary and complete introduction to astrophysics for astronomy and physics majors. This book is briefer and more accessible than other books in the market, and is the most up-to-date book available in this fast-changing field. With a logical presentation and conceptual and quantitative end-of-chapter problems, the material is easier-to-grasp for introductory astrophysics readers. Key Topics: Early Astronomy, Emergence of Modern Astronomy, Orbital Mechanics, The Earth-Moon System, Interaction of Radiation and Matter, Astronomical Detection of Light, The Sun, Overview of the Solar System, Earth and Moon, The Planets, Small Bodies in the Solar System, The Solar System in Perspective, Properties of Stars, Stellar Atmospheres, Stellar Interiors, The Interstellar Medium, Formation and Evolution of Stars, Stellar Remnants, Our Galaxy, Galaxies, Active Galaxies, Clusters and Superclusters, Cosmology, History of the Universe Market: Intended for those interested in learning the basics of astrophysics",Addison Wesley Longman
High Energy Astrophysics,Malcolm S. Longair,"Providing students with an in-depth account of the astrophysics of high energy phenomena in the Universe, the third edition of this well-established textbook is ideal for advanced undergraduate and beginning graduate courses in high energy astrophysics. Building on the concepts and techniques taught in standard undergraduate courses, this textbook provides the astronomical and astrophysical background for students to explore more advanced topics. Special emphasis is given to the underlying physical principles of high energy astrophysics, helping students understand the essential physics. The third edition has been completely rewritten, consolidating the previous editions into one volume. It covers the most recent discoveries in areas such as gamma-ray bursts, ultra-high energy cosmic rays and ultra-high energy gamma rays. The topics have been rearranged and streamlined to make them more applicable to a wide range of different astrophysical problems.",Cambridge University Press
Astrophysics,Judith Ann Irwin,"Astrophysics: Decoding the Cosmos is an accessible introduction to the key principles and theories underlying astrophysics. This text takes a close look at the radiation and particles that we receive from astronomical objects, providing a thorough understanding of what this tells us, drawing the information together using examples to illustrate the process of astrophysics. Chapters dedicated to objects showing complex processes are written in an accessible manner and pull relevant background information together to put the subject firmly into context. The intention of the author is that the book will be a ‘tool chest’ for undergraduate astronomers wanting to know the how of astrophysics. Students will gain a thorough grasp of the key principles, ensuring that this often-difficult subject becomes more accessible.",John Wiley & Sons
Astrophysics,K.D. Abhyankar,"This Book Introduces The Subject Of Astrophysics To Honours And Post-Graduate Students Of Physics, Without The Necessity Of Their Being Familiar With All The Practical Details Of Modern Astronomical Techniques Of Observation And Deduction Of Data. The Emphasis Is On Showing How An Application Of The Commonly Known Laws Of Physics Gives Us Important Information About The Properties Of Celestial Objects And Phenomena.",Universities Press
Astrophysics,Wolfgang Kundt,"Devised for a quantitative understanding of the physics of the universe from the solar system through the milky way to clusters of galaxies all the way to cosmology, this acclaimed text offers among the most concise and most critical ones of extant works. Special chapters are devoted to magnetic and radiation processes, disks, black-hole candidacy, bipolar flows, cosmic rays, gamma-ray bursts, image distortions, and special sources. At the same time, planet earth is viewed as the arena for life, with plants and animals having evolved to homo sapiens during cosmic time. This text is unique in covering the basic qualitative and quantitative tools, formulae as well as numbers, needed to for the precise interpretation of frontline phenomena.",Springer Science & Business Media
Astrophysics,K. S. Krishnaswamy,"Discoveries In Astronomy And Astrophysics Have Brought Out Several Outstanding Problems And Puzzles. For Resolving These New Inputs From Physics May Be Required. There Exist Several Centers With Excellent Instruments And Many New Instruments Will Be Developed In The Next Few Years. Similarly Several Satellites Are In Orbit And More Are Being Planned For Future Astronomical Studies. Clearly Astronomy And Astrophysics Will Provide Great Opportunities For An Inquisitive Mind To Do First Rate Research Work.There Is A Good Scope For Carrying Out Path Breaking Work In Astronomy, Astrophysics And Space Sciences. To Attract Students And Researchers To This Exciting Frontier, It Is Necessary To Provide Them A Strong Academic Foundation. Astrophysics: A Modern Perspective Is An Attempt In This Direction. This Book Has Evolved Out Of A Series Of Lectures Delivered At Two Winter Schools In Astronomy And Astrophysics Organized By The Tata Institute Of Fundamental Research (Tifr), Bombay. Special Effort Has Been Made To Highlight Some Of The Challenging And Unsolved Problems From The Observational And Theoretical Points Of View.All The Contributors To This Volume Are Well Known Scientists Of Tifr And Have Made Significant And Lasting Contributions In Their Respective Fields. Each Chapter Develops The Subject From Basic Considerations Of Physics And Goes On To The Present Day Understanding. Some Of The Important Problems Facing Astronomers And Astrophysicists Today Are Highlighted Throughout The Book. The Close Interaction Between Astronomers, Astrophysicists And Physicists Has Also Been Brought Out. It Is Hoped That This Approach Will Attract More Students And Research Workers To The Fascinating Area Of Astronomy And Astrophysics.",Taylor & Francis
"Theoretical Astrophysics: Volume 3, Galaxies and Cosmology",T. Padmanabhan,"This timely volume provides comprehensive coverage of all aspects of cosmology and extragalactic astronomy at an advanced level. Beginning with an overview of the key observational results and necessary terminology, it covers important topics: the theory of galactic structure and galactic dynamics, structure formation, cosmic microwave background radiation, formation of luminous galaxies in the universe, intergalactic medium and active galactic nuclei. This self-contained text has a modular structure, and contains over one hundred worked exercises. It can be used alone, or in conjunction with the previous two accompanying volumes (Volume I: Astrophysical Processes, and Volume II: Stars and Stellar Systems).",Cambridge University Press
AN INTRODUCTION TO ASTROPHYSICS,"BAIDYANATH BASU,TANUKA CHATTOPADHYAY,SUDHINDRA NATH BISWAS","This invaluable book, now in its second edition, covers a wide range of topics appropriate for both undergraduate and postgraduate courses in astrophysics. The book conveys a deep and coherent understanding of the stellar phenomena, and basic astrophysics of stars, galaxies, clusters of galaxies and other heavenly bodies of interest. Since the first appearance of the book in 1997, significant progress has been made in different branches of Astronomy and Astrophysics. The second edition takes into account the developments of the subject which have taken place in the last decade. It discusses the latest introduction of L and T dwarfs in the Hertzsprung-Russel diagram (or H-R diagram). Other developments discussed pertain to standard solar model, solar neutrino puzzle, cosmic microwave background radiation, Drake equation, dwarf galaxies, ultra compact dwarf galaxies, compact groups and cluster of galaxies. Problems at the end of each chapter motivate the students to go deeper into the topics. Suggested readings at the end of each chapter have been complemented.",PHI Learning Pvt. Ltd.
